YEAR,MONTH,BARANGAY_ID,Predicted_Cases,Predicted_Risk
2025,8,56,3.47,Medium
2025,9,56,3.89,Medium
2025,10,56,4.08,Medium
2025,11,56,4.92,Medium
2025,12,56,5.0,Medium
2026,1,56,4.65,Medium
2026,2,56,4.72,Medium
2026,3,56,5.28,Medium
2026,4,56,6.48,Medium
2026,5,56,7.0,Medium
2025,1,57,4.68,Medium
2025,2,57,4.18,Medium
2025,3,57,3.94,Medium
2025,4,57,3.85,Low
2025,5,57,4.05,Low
2025,6,57,5.33,Medium
2025,7,57,5.91,Medium
2025,8,57,5.95,Medium
2025,9,57,5.65,Medium
2025,10,57,5.41,Medium
2025,11,57,5.44,Medium
2025,12,57,5.1,Medium
2026,1,57,4.78,Medium
2026,2,57,4.5,Medium
2026,3,57,4.83,Medium
2026,4,57,6.0,Medium
2026,5,57,6.0,Medium
2025,1,58,2.61,Low
2025,2,58,2.71,Low
2025,3,58,3.6,Low
2025,4,58,3.71,Medium
2025,5,58,3.95,Low
2025,6,58,5.05,Medium
2025,7,58,6.09,Medium
2025,8,58,5.99,Medium
2025,9,58,5.09,Medium
2025,10,58,4.78,Medium
2025,11,58,4.29,Medium
2025,12,58,4.64,Medium
2026,1,58,5.51,Medium
2026,2,58,6.48,Medium
2026,3,58,6.5,Medium
2026,4,58,6.26,Medium
2026,5,58,8.29,Medium
2025,1,59,0.0,Low
2025,2,59,2.05,Low
2025,3,59,1.69,Low
2025,4,59,1.44,Low
2025,5,59,1.45,Low
2025,6,59,1.31,Low
2025,7,59,1.31,Low
2025,8,59,1.28,Low
2025,9,59,1.08,Low
2025,10,59,1.04,Low
2025,11,59,1.04,Low
2025,12,59,1.02,Low
2026,1,59,1.0,Low
2026,2,59,1.01,Low
2026,3,59,1.01,Low
2026,4,59,0.99,Low
2026,5,59,1.02,Low
2025,1,60,4.63,Medium
2025,2,60,4.09,Medium
2025,3,60,3.86,Medium
2025,4,60,3.74,Low
2025,5,60,4.13,Low
2025,6,60,4.95,Medium
2025,7,60,5.26,Medium
2025,8,60,6.64,Medium
2025,9,60,6.44,Medium
2025,10,60,6.28,Medium
2025,11,60,6.54,Medium
2025,12,60,8.06,Medium
2026,1,60,8.92,Medium
2026,2,60,9.0,High
2026,3,60,7.93,High
2026,4,60,7.14,Medium
2026,5,60,8.77,Medium
2025,1,61,2.41,Low
2025,2,61,2.53,Low
2025,3,61,3.08,Low
2025,4,61,3.53,Medium
2025,5,61,3.54,Medium
2025,6,61,3.92,Low
2025,7,61,4.6,Medium
2025,8,61,5.55,Medium
2025,9,61,6.22,Medium
2025,10,61,6.38,Medium
2025,11,61,6.17,Medium
2025,12,61,5.81,Medium
2026,1,61,5.49,Medium
2026,2,61,5.33,Medium
2026,3,61,4.91,Medium
2026,4,61,4.72,Medium
2026,5,61,5.55,Medium
2025,1,62,0.0,Low
2025,2,62,0.09,Low
2025,3,62,0.88,Low
2025,4,62,5.65,Low
2025,5,62,7.0,Medium
2025,6,62,5.2,Medium
2025,7,62,5.39,Medium
2025,8,62,6.48,Medium
2025,9,62,7.0,Medium
2025,10,62,7.0,Medium
2025,11,62,6.84,Medium
2025,12,62,6.35,Medium
2026,1,62,6.86,Medium
2026,2,62,7.0,Medium
2026,3,62,7.0,Medium
2026,4,62,6.93,Medium
2026,5,62,7.0,Medium
2025,1,63,0.97,Low
2025,2,63,1.06,Low
2025,3,63,1.42,Low
2025,4,63,1.51,Low
2025,5,63,1.52,Low
2025,6,63,1.63,Low
2025,7,63,1.76,Low
2025,8,63,1.78,Low
2025,9,63,2.13,Low
2025,10,63,2.38,Low
2025,11,63,2.69,Low
2025,12,63,2.86,Low
2026,1,63,3.12,Low
2026,2,63,3.61,Low
2026,3,63,3.61,Medium
2026,4,63,3.66,Low
2026,5,63,3.85,Low
2025,1,64,6.98,Medium
2025,2,64,5.71,Medium
2025,3,64,5.39,Medium
2025,4,64,5.43,Medium
2025,5,64,5.58,Medium
2025,6,64,5.57,Medium
2025,7,64,5.68,Medium
2025,8,64,5.22,Medium
2025,9,64,4.96,Medium
2025,10,64,4.6,Medium
2025,11,64,4.9,Medium
2025,12,64,6.19,Medium
2026,1,64,6.9,Medium
2026,2,64,7.07,Medium
2026,3,64,6.89,Medium
2026,4,64,6.38,Medium
2026,5,64,8.79,Medium
2025,1,65,7.74,Medium
2025,2,65,7.13,Medium
2025,3,65,6.28,Medium
2025,4,65,6.1,Medium
2025,5,65,8.64,Medium
2025,6,65,11.58,High
2025,7,65,9.35,High
2025,8,65,10.29,High
2025,9,65,3.77,Medium
2025,10,65,4.41,Low
2025,11,65,6.72,Medium
2025,12,65,7.39,Medium
2026,1,65,8.09,Medium
2026,2,65,9.57,High
2026,3,65,10.06,High
2026,4,65,12.0,High
2026,5,65,12.0,High
2025,1,66,9.0,High
2025,2,66,8.19,High
2025,3,66,7.8,High
2025,4,66,7.39,Medium
2025,5,66,9.0,High
2025,6,66,9.0,High
2025,7,66,9.0,High
2025,8,66,8.43,High
2025,9,66,8.07,High
2025,10,66,8.18,High
2025,11,66,7.96,High
2025,12,66,7.39,Medium
2026,1,66,7.44,Medium
2026,2,66,7.38,Medium
2026,3,66,7.34,Medium
2026,4,66,7.59,Medium
2026,5,66,9.0,High
2025,1,67,1.65,Low
2025,2,67,1.61,Low
2025,3,67,1.58,Low
2025,4,67,1.31,Low
2025,5,67,1.18,Low
2025,6,67,1.18,Low
2025,7,67,1.06,Low
2025,8,67,1.11,Low
2025,9,67,1.6,Low
2025,10,67,1.69,Low
2025,11,67,1.76,Low
2025,12,67,2.0,Low
2026,1,67,2.48,Low
2026,2,67,2.61,Low
2026,3,67,2.94,Low
2026,4,67,3.13,Low
2026,5,67,3.79,Low
2025,1,68,4.0,Medium
2025,2,68,3.12,Medium
2025,3,68,2.87,Low
2025,4,68,2.72,Low
2025,5,68,2.88,Low
2025,6,68,3.54,Low
2025,7,68,4.0,Medium
2025,8,68,4.0,Medium
2025,9,68,3.85,Medium
2025,10,68,3.61,Low
2025,11,68,3.86,Low
2025,12,68,4.0,Medium
2026,1,68,4.0,Medium
2026,2,68,3.62,Medium
2026,3,68,3.48,Low
2026,4,68,3.72,Low
2026,5,68,4.0,Medium
2025,1,69,5.64,Medium
2025,2,69,4.61,Medium
2025,3,69,4.27,Medium
2025,4,69,4.09,Medium
2025,5,69,3.87,Medium
2025,6,69,3.8,Low
2025,7,69,4.17,Low
2025,8,69,5.52,Medium
2025,9,69,5.82,Medium
2025,10,69,6.14,Medium
2025,11,69,7.52,Medium
2025,12,69,7.8,Medium
2026,1,69,8.13,Medium
2026,2,69,9.92,High
2026,3,69,10.08,High
2026,4,69,11.17,High
2026,5,69,22.7,High
2025,1,70,6.15,Medium
2025,2,70,5.39,Medium
2025,3,70,4.6,Medium
2025,4,70,4.35,Medium
2025,5,70,4.69,Medium
2025,6,70,5.58,Medium
2025,7,70,6.9,Medium
2025,8,70,7.0,Medium
2025,9,70,7.0,Medium
2025,10,70,7.0,Medium
2025,11,70,6.86,Medium
2025,12,70,6.32,Medium
2026,1,70,6.74,Medium
2026,2,70,7.0,Medium
2026,3,70,7.0,Medium
2026,4,70,6.99,Medium
2026,5,70,7.0,Medium
2025,1,71,0.0,Low
2025,2,71,0.89,Low
2025,3,71,13.98,Low
2025,4,71,40.44,High
2025,5,71,44.66,High
2025,6,71,49.28,High
2025,7,71,18.49,High
2025,8,71,4.87,Low
2025,9,71,2.64,Low
2025,10,71,4.16,Low
2025,11,71,5.68,Medium
2025,12,71,5.49,Medium
2026,1,71,5.16,Medium
2026,2,71,4.91,Medium
2026,3,71,4.75,Medium
2026,4,71,5.12,Medium
2026,5,71,6.98,Medium
2025,1,72,0.0,Low
2025,2,72,0.09,Low
2025,3,72,0.88,Low
2025,4,72,4.0,Low
2025,5,72,4.0,Medium
2025,6,72,3.49,Medium
2025,7,72,3.64,Low
2025,8,72,4.0,Medium
2025,9,72,4.0,Medium
2025,10,72,3.48,Medium
2025,11,72,3.18,Low
2025,12,72,3.2,Low
2026,1,72,3.04,Low
2026,2,72,2.93,Low
2026,3,72,2.86,Low
2026,4,72,2.71,Low
2026,5,72,2.89,Low
2025,1,73,1.82,Low
2025,2,73,1.96,Low
2025,3,73,1.97,Low
2025,4,73,2.03,Low
2025,5,73,2.37,Low
2025,6,73,2.44,Low
2025,7,73,2.4,Low
2025,8,73,2.59,Low
2025,9,73,2.98,Low
2025,10,73,2.95,Low
2025,11,73,2.86,Low
2025,12,73,2.7,Low
2026,1,73,2.71,Low
2026,2,73,2.72,Low
2026,3,73,2.67,Low
2026,4,73,2.67,Low
2026,5,73,2.75,Low
2025,1,74,2.37,Low
2025,2,74,2.95,Low
2025,3,74,3.07,Low
2025,4,74,3.72,Low
2025,5,74,3.93,Medium
2025,6,74,4.5,Medium
2025,7,74,5.35,Medium
2025,8,74,5.59,Medium
2025,9,74,6.28,Medium
2025,10,74,7.0,Medium
2025,11,74,7.0,Medium
2025,12,74,6.82,Medium
2026,1,74,6.63,Medium
2026,2,74,7.0,Medium
2026,3,74,7.0,Medium
2026,4,74,7.0,Medium
2026,5,74,7.0,Medium
