YEAR,MONTH,BARANGAY_ID,Predicted_Cases,Predicted_Risk
2025,1,13,1.59,Low
2025,2,13,1.39,Low
2025,3,13,1.22,Low
2025,4,13,1.18,Low
2025,5,13,0.97,Low
2025,6,13,1.32,Low
2025,7,13,1.65,Low
2025,8,13,1.67,Low
2025,9,13,1.93,Low
2025,10,13,1.91,Low
2025,11,13,2.13,Low
2025,12,13,2.4,Low
2026,1,13,2.63,Low
2026,2,13,2.83,Low
2026,3,13,2.99,Low
2026,4,13,3.28,Low
2026,5,13,3.92,Medium
2025,1,14,0.07,Low
2025,2,14,2.73,Low
2025,3,14,13.78,Low
2025,4,14,25.0,High
2025,5,14,25.0,High
2025,6,14,25.0,High
2025,7,14,9.63,Medium
2025,8,14,3.48,Low
2025,9,14,1.92,Low
2025,10,14,2.71,Low
2025,11,14,3.37,Medium
2025,12,14,4.06,Medium
2026,1,14,4.49,Medium
2026,2,14,4.39,Medium
2026,3,14,4.08,Medium
2026,4,14,3.79,Medium
2026,5,14,3.92,Low
2025,1,15,4.49,Medium
2025,2,15,3.97,Medium
2025,3,15,3.44,Low
2025,4,15,3.13,Low
2025,5,15,3.46,Low
2025,6,15,4.8,Medium
2025,7,15,5.54,Medium
2025,8,15,5.7,Medium
2025,9,15,4.84,Medium
2025,10,15,4.45,Medium
2025,11,15,4.42,Medium
2025,12,15,3.65,Medium
2026,1,15,3.08,Low
2026,2,15,3.09,Low
2026,3,15,2.97,Low
2026,4,15,2.86,Low
2026,5,15,2.85,Low
2025,1,16,5.51,Medium
2025,2,16,5.08,Medium
2025,3,16,4.66,Medium
2025,4,16,4.31,Medium
2025,5,16,5.27,Medium
2025,6,16,6.73,Medium
2025,7,16,8.75,Medium
2025,8,16,9.09,High
2025,9,16,10.54,High
2025,10,16,8.26,Medium
2025,11,16,9.46,Medium
2025,12,16,10.48,High
2026,1,16,9.04,Medium
2026,2,16,9.07,High
2026,3,16,7.64,High
2026,4,16,6.7,Medium
2026,5,16,9.09,Medium
2025,1,17,10.33,High
2025,2,17,3.6,Low
2025,3,17,1.83,Low
2025,4,17,2.74,Low
2025,5,17,4.49,Low
2025,6,17,5.25,Medium
2025,7,17,5.51,Medium
2025,8,17,5.9,Medium
2025,9,17,6.38,Medium
2025,10,17,7.8,Medium
2025,11,17,8.54,Medium
2025,12,17,9.51,High
2026,1,17,10.24,High
2026,2,17,9.03,Medium
2026,3,17,9.09,High
2026,4,17,8.63,High
2026,5,17,10.31,High
2025,1,18,5.85,Medium
2025,2,18,4.58,Low
2025,3,18,4.82,Medium
2025,4,18,5.94,Medium
2025,5,18,6.86,Medium
2025,6,18,9.1,Medium
2025,7,18,11.63,High
2025,8,18,8.76,High
2025,9,18,10.25,Medium
2025,10,18,3.72,Medium
2025,11,18,4.22,Low
2025,12,18,6.48,Medium
2026,1,18,7.7,Medium
2026,2,18,8.05,Medium
2026,3,18,9.62,High
2026,4,18,10.16,High
2026,5,18,13.58,High
