BARANGAY,Year,1 Total,1 D,1 A,2 Total,2 D,2 A,3 Total,3 D,3 A,4 Total,4 D,4 A,5 Total,5 D,5 A,6 Total,6 D,6 A,7 Total,7 D,7 A,8 Total,8 D,8 A,9 Total,9 D,9 A,10 Total,10 D,10 A,11 Total,11 D,11 A,12 Total,12 D,12 A,Grand Total
LANGKAAN I,2012,2,0,2,3,0,3,2,0,2,2,0,2,1,0,1,0,0,0,3,0,3,1,0,1,1,0,1,4,0,4,0,0,0,0,0,0,19
LANGKAAN I,2013,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,14,0,14,9,0,9,20,0,20,5,0,5,6,0,6,7,0,7,65
LANGKAAN I,2014,2,0,2,3,0,3,2,0,2,2,0,2,1,0,1,0,0,0,3,0,3,1,0,1,1,0,1,4,0,4,0,0,0,0,0,0,19
LANGKAAN I,2015,3,1,2,2,1,1,2,1,1,0,0,0,0,0,0,1,1,0,1,1,0,8,5,3,15,6,9,26,9,17,10,6,4,2,2,0,70
LANGKAAN I,2016,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,2,0,2,2,0,2,3,0,3,6,0,6,1,0,1,1,0,1,1,0,1,20
LANGKAAN I,2017,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,11,0,11,9,0,9,12,0,12,5,0,5,1,0,1,43
LANGKAAN I,2018,3,0,3,3,0,3,1,0,1,3,0,3,1,0,1,0,0,0,0,0,0,1,0,1,3,0,3,7,0,7,5,0,5,11,0,11,38
LANGKAAN I,2019,12,0,12,13,1,12,5,0,5,1,0,1,2,0,2,5,0,5,22,0,22,39,0,39,29,1,28,15,0,15,11,0,11,4,0,4,158
LANGKAAN I,2020,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,2,0,2,8
LANGKAAN I,2021,1,0,1,0,0,0,2,2,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,1,0,0,0,9
LANGKAAN I,2022,1,0,1,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,1,0,1,0,0,0,3,0,3,0,0,0,15
LANGKAAN I,2023,1,0,1,0,0,0,2,0,2,1,0,1,4,0,4,1,0,1,0,0,0,2,0,2,2,0,2,5,0,5,0,0,0,2,0,2,20
LANGKAAN I,2024,3,0,3,3,0,3,0,0,0,1,0,1,0,0,0,1,0,1,3,0,3,3,0,3,10,0,10,15,0,15,14,0,14,13,0,13,66
LANGKAAN II,2010,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,4,4,0,4,2,0,2,2,0,2,15
LANGKAAN II,2011,5,0,5,4,0,4,1,0,1,0,0,0,1,0,1,5,0,5,7,0,7,13,0,13,8,0,8,6,0,6,7,0,7,0,0,0,57
LANGKAAN II,2012,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,2,0,2,2,0,2,5,0,5,4,0,4,14,0,14,1,0,1,1,0,1,39
LANGKAAN II,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4,10,0,10,7,0,7,11,0,11,6,0,6,3,0,3,46
LANGKAAN II,2014,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,2,0,2,2,0,2,5,0,5,4,0,4,14,0,14,1,0,1,1,0,1,39
LANGKAAN II,2015,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,4,2,2,14,6,8,24,14,10,14,6,8,10,7,3,3,1,2,74
LANGKAAN II,2016,2,0,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,8,0,8,13,0,13,16,1,15,6,0,6,4,0,4,52
LANGKAAN II,2017,3,0,3,3,0,3,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,7,0,7,5,0,5,3,0,3,6,0,6,2,0,2,32
LANGKAAN II,2018,6,0,6,0,0,0,3,0,3,0,0,0,1,0,1,0,0,0,1,0,1,5,0,5,3,0,3,5,0,5,5,0,5,8,0,8,37
LANGKAAN II,2019,8,0,8,14,0,14,7,0,7,5,0,5,2,0,2,15,0,15,79,0,79,144,1,143,68,0,68,22,0,22,12,0,12,7,0,7,383
LANGKAAN II,2020,7,0,7,6,0,6,4,0,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,23
LANGKAAN II,2021,2,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,13,5,8,8,4,4,28
LANGKAAN II,2022,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,3,0,3,4,0,4,2,0,2,1,0,1,1,0,1,2,0,2,1,0,1,17
LANGKAAN II,2023,2,0,2,0,0,0,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,2,0,2,12
LANGKAAN II,2024,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,6,0,6,15,0,15,12,0,12,16,0,16,19,0,19,18,0,18,90
LUZVIMINDA I,2011,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,1,1,0,1,0,0,0,0,0,0,8
LUZVIMINDA I,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,2,0,2,0,0,0,7
LUZVIMINDA I,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,2,0,2,0,0,0,7
LUZVIMINDA I,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,5,5,0,4,1,3,0,0,0,12
LUZVIMINDA I,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,3
LUZVIMINDA I,2017,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LUZVIMINDA I,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,4
LUZVIMINDA I,2019,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,6,0,6,1,0,1,1,0,1,1,0,1,20
LUZVIMINDA I,2020,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5
LUZVIMINDA I,2021,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LUZVIMINDA I,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4
LUZVIMINDA I,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2
LUZVIMINDA I,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,4
LUZVIMINDA II,2011,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,0,0,0,6
LUZVIMINDA II,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
LUZVIMINDA II,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3
LUZVIMINDA II,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
LUZVIMINDA II,2015,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,2,1,1,3,1,2,10,4,6,1,1,0,0,0,0,20
LUZVIMINDA II,2016,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
LUZVIMINDA II,2017,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3
LUZVIMINDA II,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,1,0,1,5
LUZVIMINDA II,2019,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,25,0,25,17,0,17,4,0,4,4,0,4,0,0,0,61
LUZVIMINDA II,2020,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4
LUZVIMINDA II,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
LUZVIMINDA II,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
LUZVIMINDA II,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,5,0,5,0,0,0,7
PALIPARAN I,2010,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,1,2,3,0,3,8,0,8,6,0,6,2,0,2,1,0,1,25
PALIPARAN I,2011,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,2,0,2,1,0,1,1,0,1,1,0,1,0,0,0,11
PALIPARAN I,2012,6,0,6,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0,2,0,2,3,0,3,11,0,11,8,0,8,0,0,0,0,0,0,34
PALIPARAN I,2013,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,5,0,5,6,0,6,2,0,2,1,0,1,22
PALIPARAN I,2014,6,0,6,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0,2,0,2,3,0,3,11,0,11,8,0,8,0,0,0,0,0,0,34
PALIPARAN I,2015,3,1,2,8,2,6,0,0,0,2,0,2,2,0,2,1,1,0,6,3,3,13,10,3,14,6,8,19,14,5,11,7,4,1,0,1,80
PALIPARAN I,2016,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,1,0,1,1,0,1,0,0,0,8
PALIPARAN I,2017,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,3,0,3,1,0,1,2,0,2,9
PALIPARAN I,2018,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,6,1,0,1,4,0,4,1,0,1,2,0,2,16
PALIPARAN I,2019,6,0,6,5,0,5,0,0,0,0,0,0,10,1,9,39,0,39,60,1,59,49,0,49,36,0,36,17,0,17,6,0,6,8,0,8,236
PALIPARAN I,2020,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,9
PALIPARAN I,2021,3,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,4,3,1,2,2,0,0,0,0,13
PALIPARAN I,2022,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,5,1,0,1,1,0,1,0,0,0,2,0,2,11
PALIPARAN I,2023,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2,0,2,3,0,3,2,0,2,1,0,1,0,0,0,10
PALIPARAN I,2024,2,0,2,0,0,0,0,0,0,1,0,1,2,0,2,1,0,1,0,0,0,1,0,1,3,0,3,2,0,2,1,0,1,3,0,3,16
PALIPARAN II,2010,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,9,0,9,5,0,5,0,0,0,2,0,2,27
PALIPARAN II,2011,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
PALIPARAN II,2012,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,1,0,1,7
PALIPARAN II,2013,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,5
PALIPARAN II,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,2,0,2,0,0,0,0,0,0,1,0,1,7
PALIPARAN II,2015,0,0,0,3,3,0,2,2,0,3,3,0,1,1,0,8,5,3,3,1,2,5,4,1,13,10,3,15,5,10,7,3,4,1,1,0,61
PALIPARAN II,2016,2,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,1,0,1,2,0,2,2,0,2,14
PALIPARAN II,2017,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3,0,0,0,0,0,0,2,0,2,1,0,1,1,0,1,12
PALIPARAN II,2018,1,0,1,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,11,0,11,1,0,1,20
PALIPARAN II,2019,2,0,2,3,1,2,0,0,0,2,0,2,1,0,1,2,0,2,19,0,19,21,0,21,29,0,29,14,0,14,7,0,7,5,0,5,105
PALIPARAN II,2020,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4
PALIPARAN II,2021,1,0,1,4,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,1,1,1,0,0,0,0,0,0,0,11
PALIPARAN II,2022,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
PALIPARAN II,2023,3,0,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,2,0,2,2,0,2,2,0,2,15
PALIPARAN II,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,3,0,3,3,0,3,6,1,5,15,0,15,7,0,7,38
PALIPARAN III,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,5,0,5,3,0,3,3,0,3,2,0,2,1,0,1,16
PALIPARAN III,2011,1,0,1,3,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,10
PALIPARAN III,2012,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,6,0,6,4,0,4,7,0,7,8,0,8,5,0,5,2,0,2,39
PALIPARAN III,2013,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,8,0,8,13,0,13,9,0,9,3,0,3,2,0,2,38
PALIPARAN III,2014,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,3,0,3,6,0,6,4,0,4,7,0,7,8,0,8,5,0,5,2,0,2,39
PALIPARAN III,2015,3,2,1,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,6,3,3,9,3,6,20,10,10,43,19,24,25,13,12,7,5,2,117
PALIPARAN III,2016,3,0,3,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0,2,0,2,5,0,5,0,0,0,4,0,4,2,0,2,2,0,2,22
PALIPARAN III,2017,1,0,1,0,0,0,1,0,1,1,0,1,3,0,3,1,0,1,5,0,5,12,0,12,9,0,9,4,1,3,5,0,5,5,0,5,47
PALIPARAN III,2018,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,4,0,4,18
PALIPARAN III,2019,6,1,5,10,0,10,11,1,10,4,0,4,13,0,13,13,0,13,85,0,85,109,0,109,65,0,65,32,1,31,7,0,7,6,0,6,361
PALIPARAN III,2020,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,4,0,4,3,0,3,16
PALIPARAN III,2021,11,4,7,1,1,0,4,2,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,20
PALIPARAN III,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,0,3,4,0,4,3,0,3,0,0,0,1,0,1,1,0,1,14
PALIPARAN III,2023,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,3,0,3,1,0,1,4,1,3,5,0,5,3,0,3,3,1,2,22
PALIPARAN III,2024,5,0,5,0,0,0,5,0,5,1,0,1,0,0,0,2,0,2,4,0,4,7,0,7,11,0,11,26,0,26,22,0,22,22,0,22,105
SABANG,2010,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,7,0,7,16,0,16,12,0,12,8,0,8,5,0,5,50
SABANG,2011,3,0,3,1,0,1,0,0,0,1,0,1,0,0,0,3,0,3,11,0,11,4,0,4,2,0,2,6,0,6,1,0,1,1,0,1,33
SABANG,2012,1,0,1,1,0,1,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,0,3,4,0,4,3,0,3,3,0,3,19
SABANG,2013,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,8,0,8,4,0,4,3,0,3,3,0,3,23
SABANG,2014,1,0,1,1,0,1,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,0,3,4,0,4,3,0,3,3,0,3,19
SABANG,2015,11,6,5,3,2,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,5,3,2,8,3,5,19,7,12,11,5,6,4,3,1,64
SABANG,2016,2,0,2,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3,1,0,1,3,0,3,4,1,3,1,0,1,20
SABANG,2017,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,1,0,1,3,0,3,4,0,4,13
SABANG,2018,5,0,5,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,7,0,7,3,0,3,3,0,3,26
SABANG,2019,10,0,10,2,0,2,1,0,1,1,0,1,4,0,4,1,0,1,30,0,30,31,0,31,25,0,25,27,0,27,22,0,22,5,0,5,159
SABANG,2020,2,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SABANG,2021,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,3,2,1,8,5,3,1,0,1,16
SABANG,2022,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,6,6,0,6,1,0,1,2,0,2,1,0,1,1,0,1,23
SABANG,2023,1,0,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,2,0,2,10
SABANG,2024,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,8,0,8,13,0,13,8,0,8,11,0,11,44
SAINT PETER I,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2
SAINT PETER I,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,2
SAINT PETER I,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SAINT PETER I,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,2
SAINT PETER I,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
SAINT PETER I,2015,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,1,0,0,0,4,3,1,2,1,1,1,1,0,2,1,1,13
SAINT PETER I,2016,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAINT PETER I,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2
SAINT PETER I,2018,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAINT PETER I,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,4,0,4,2,0,2,2,0,2,0,0,0,10
SAINT PETER I,2020,1,0,1,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAINT PETER I,2021,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
SAINT PETER I,2022,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,7
SAINT PETER I,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,1,0,1,1,0,1,6
SAINT PETER II,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
SAINT PETER II,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SAINT PETER II,2013,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3
SAINT PETER II,2015,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,5,1,13,9,4,6,2,4,0,0,0,28
SAINT PETER II,2016,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
SAINT PETER II,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,4
SAINT PETER II,2018,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,0,0,0,8
SAINT PETER II,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,8,0,8,2,0,2,2,0,2,0,0,0,15
SAINT PETER II,2022,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,2,0,2,2,0,2,1,0,1,0,0,0,0,0,0,8
SAINT PETER II,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SAINT PETER II,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,5
SALAWAG,2010,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,9,0,9,11,0,11,5,0,5,1,0,1,30
SALAWAG,2011,6,0,6,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,4,0,4,0,0,0,0,0,0,1,0,1,18
SALAWAG,2012,2,0,2,2,0,2,4,0,4,2,0,2,0,0,0,7,0,7,25,0,25,9,0,9,19,0,19,11,0,11,4,0,4,1,0,1,86
SALAWAG,2013,3,0,3,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,4,0,4,3,0,3,6,0,6,7,0,7,7,0,7,3,0,3,36
SALAWAG,2014,2,0,2,2,0,2,4,0,4,2,0,2,0,0,0,7,0,7,25,0,25,9,0,9,19,0,19,11,0,11,4,0,4,1,0,1,86
SALAWAG,2015,10,6,4,13,9,4,5,2,3,2,0,2,1,1,0,1,1,0,2,1,1,15,8,7,30,19,11,69,34,35,21,15,6,13,6,7,182
SALAWAG,2016,7,0,7,6,0,6,1,0,1,0,0,0,1,0,1,0,0,0,2,0,2,3,0,3,1,0,1,1,0,1,4,0,4,3,0,3,29
SALAWAG,2017,3,0,3,5,0,5,5,0,5,4,0,4,0,0,0,1,0,1,5,0,5,11,1,10,16,1,15,9,2,7,11,0,11,5,0,5,75
SALAWAG,2018,7,0,7,3,0,3,1,0,1,0,0,0,2,0,2,4,0,4,1,0,1,3,0,3,5,0,5,24,0,24,20,1,19,14,0,14,84
SALAWAG,2019,10,0,10,9,1,8,10,0,10,3,0,3,4,0,4,13,0,13,45,0,45,52,1,51,61,0,61,25,0,25,25,0,25,15,0,15,272
SALAWAG,2020,14,0,14,7,0,7,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,2,0,2,28
SALAWAG,2021,2,2,0,2,2,0,1,1,0,2,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,2,1,1,4,3,1,0,0,0,16
SALAWAG,2022,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,4,0,4,1,0,1,3,0,3,2,0,2,4,0,4,6,0,6,23
SALAWAG,2023,6,0,6,1,0,1,3,0,3,5,0,5,5,0,5,5,0,5,3,0,3,3,0,3,10,0,10,16,0,16,8,0,8,5,0,5,70
SALAWAG,2024,9,0,9,7,0,7,4,0,4,4,0,4,2,0,2,1,0,1,11,0,11,5,0,5,8,0,8,39,0,39,46,0,46,40,0,40,176
SALITRAN I,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,1,0,1,6
SALITRAN I,2011,4,0,4,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,5,0,5,2,0,2,0,0,0,0,0,0,15
SALITRAN I,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,5,8,0,8,6,0,6,5,0,5,1,0,1,0,0,0,26
SALITRAN I,2013,1,0,1,0,0,0,1,0,1,0,0,0,3,0,3,1,0,1,1,0,1,1,0,1,3,0,3,3,0,3,4,0,4,3,0,3,21
SALITRAN I,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,5,8,0,8,6,0,6,5,0,5,1,0,1,0,0,0,26
SALITRAN I,2015,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,15,9,6,11,8,3,7,6,1,5,4,1,44
SALITRAN I,2016,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4
