BARANGAY,YEAR,MONTH,Cases,RAINFALL,TMAX,TMIN,WIND_SPEED,WIND_DIRECTION,RH,TAVG
EMMANUEL BERGADO I,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
EMMANUEL BERGADO I,2014,1,0,0.4,29.5,23.4,3.0,140.0,72.0,26.45
EMMANUEL BERGADO I,2015,1,2,31.8,29.5,23.6,2.0,140.0,79.0,26.55
EMMANUEL BERGADO I,2016,1,3,1.4,31.3,25.3,3.0,90.0,78.0,28.3
EMMANUEL BERGADO I,2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
EMMANUEL BERGADO I,2018,1,1,16.4,30.3,25.4,3.0,90.0,77.0,27.85
EMMANUEL BERGADO I,2019,1,1,5.7,30.6,24.9,3.0,90.0,72.0,27.75
EMMANUEL BERGADO I,2020,1,2,4.2,31.0,24.9,3.0,90.0,78.0,27.95
EMMANUEL BERGADO I,2021,1,0,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
EMMANUEL BERGADO I,2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
EMMANUEL BERGADO I,2023,1,0,72.6,29.7,24.6,3.0,90.0,77.0,27.15
EMMANUEL BERGADO II,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
EMMANUEL BERGADO II,2011,1,0,69.7,30.0,24.7,3.0,110.0,76.0,27.35
EMMANUEL BERGADO II,2012,1,0,25.2,30.8,25.3,3.0,140.0,78.0,28.05
EMMANUEL BERGADO II,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
EMMANUEL BERGADO II,2014,1,0,0.4,29.5,23.4,3.0,140.0,72.0,26.45
EMMANUEL BERGADO II,2015,1,1,31.8,29.5,23.6,2.0,140.0,79.0,26.55
EMMANUEL BERGADO II,2016,1,0,1.4,31.3,25.3,3.0,90.0,78.0,28.3
EMMANUEL BERGADO II,2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
EMMANUEL BERGADO II,2018,1,1,16.4,30.3,25.4,3.0,90.0,77.0,27.85
EMMANUEL BERGADO II,2019,1,0,5.7,30.6,24.9,3.0,90.0,72.0,27.75
EMMANUEL BERGADO II,2020,1,1,4.2,31.0,24.9,3.0,90.0,78.0,27.95
EMMANUEL BERGADO II,2021,1,0,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
EMMANUEL BERGADO II,2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
EMMANUEL BERGADO II,2023,1,0,72.6,29.7,24.6,3.0,90.0,77.0,27.15
FATIMA I,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
FATIMA I,2011,1,1,69.7,30.0,24.7,3.0,110.0,76.0,27.35
FATIMA I,2012,1,0,25.2,30.8,25.3,3.0,140.0,78.0,28.05
FATIMA I,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
FATIMA I,2014,1,0,0.4,29.5,23.4,3.0,140.0,72.0,26.45
FATIMA I,2015,1,2,31.8,29.5,23.6,2.0,140.0,79.0,26.55
FATIMA I,2016,1,4,1.4,31.3,25.3,3.0,90.0,78.0,28.3
FATIMA I,2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
FATIMA I,2018,1,2,16.4,30.3,25.4,3.0,90.0,77.0,27.85
FATIMA I,2019,1,0,5.7,30.6,24.9,3.0,90.0,72.0,27.75
FATIMA I,2020,1,3,4.2,31.0,24.9,3.0,90.0,78.0,27.95
FATIMA I,2022,1,1,15.8,30.8,24.7,3.0,90.0,74.0,27.75
FATIMA I,2023,1,0,72.6,29.7,24.6,3.0,90.0,77.0,27.15
FATIMA II,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
FATIMA II,2011,1,0,69.7,30.0,24.7,3.0,110.0,76.0,27.35
FATIMA II,2012,1,2,25.2,30.8,25.3,3.0,140.0,78.0,28.05
FATIMA II,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
FATIMA II,2014,1,2,0.4,29.5,23.4,3.0,140.0,72.0,26.45
FATIMA II,2015,1,2,31.8,29.5,23.6,2.0,140.0,79.0,26.55
FATIMA II,2016,1,0,1.4,31.3,25.3,3.0,90.0,78.0,28.3
FATIMA II,2017,1,2,52.5,29.7,25.0,3.0,90.0,77.0,27.35
FATIMA II,2018,1,0,16.4,30.3,25.4,3.0,90.0,77.0,27.85
FATIMA II,2019,1,0,5.7,30.6,24.9,3.0,90.0,72.0,27.75
FATIMA II,2020,1,1,4.2,31.0,24.9,3.0,90.0,78.0,27.95
FATIMA II,2021,1,1,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
FATIMA II,2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
FATIMA II,2023,1,0,72.6,29.7,24.6,3.0,90.0,77.0,27.15
FATIMA III,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
FATIMA III,2011,1,0,69.7,30.0,24.7,3.0,110.0,76.0,27.35
FATIMA III,2012,1,0,25.2,30.8,25.3,3.0,140.0,78.0,28.05
FATIMA III,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
FATIMA III,2014,1,0,0.4,29.5,23.4,3.0,140.0,72.0,26.45
FATIMA III,2015,1,1,31.8,29.5,23.6,2.0,140.0,79.0,26.55
FATIMA III,2016,1,0,1.4,31.3,25.3,3.0,90.0,78.0,28.3
FATIMA III,2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
FATIMA III,2018,1,0,16.4,30.3,25.4,3.0,90.0,77.0,27.85
FATIMA III,2019,1,1,5.7,30.6,24.9,3.0,90.0,72.0,27.75
FATIMA III,2020,1,2,4.2,31.0,24.9,3.0,90.0,78.0,27.95
FATIMA III,2021,1,5,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
FATIMA III,2022,1,0,15.8,30.8,24.7,3.0,90.0,74.0,27.75
FATIMA III,2023,1,0,72.6,29.7,24.6,3.0,90.0,77.0,27.15
H-II,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
H-II,2015,1,0,31.8,29.5,23.6,2.0,140.0,79.0,26.55
H-II,2017,1,0,52.5,29.7,25.0,3.0,90.0,77.0,27.35
H-II,2018,1,0,16.4,30.3,25.4,3.0,90.0,77.0,27.85
LANGKAAN I,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
LANGKAAN I,2011,1,3,69.7,30.0,24.7,3.0,110.0,76.0,27.35
LANGKAAN I,2012,1,2,25.2,30.8,25.3,3.0,140.0,78.0,28.05
LANGKAAN I,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
LANGKAAN I,2014,1,2,0.4,29.5,23.4,3.0,140.0,72.0,26.45
LANGKAAN I,2015,1,3,31.8,29.5,23.6,2.0,140.0,79.0,26.55
LANGKAAN I,2016,1,2,1.4,31.3,25.3,3.0,90.0,78.0,28.3
LANGKAAN I,2017,1,1,52.5,29.7,25.0,3.0,90.0,77.0,27.35
LANGKAAN I,2018,1,3,16.4,30.3,25.4,3.0,90.0,77.0,27.85
LANGKAAN I,2019,1,12,5.7,30.6,24.9,3.0,90.0,72.0,27.75
LANGKAAN I,2020,1,2,4.2,31.0,24.9,3.0,90.0,78.0,27.95
LANGKAAN I,2021,1,1,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
LANGKAAN I,2022,1,1,15.8,30.8,24.7,3.0,90.0,74.0,27.75
LANGKAAN I,2023,1,1,72.6,29.7,24.6,3.0,90.0,77.0,27.15
LANGKAAN II,2010,1,0,5.8,30.28461538461539,24.661538461538463,4.0,110.0,76.38461538461539,27.47307692307692
LANGKAAN II,2011,1,5,69.7,30.0,24.7,3.0,110.0,76.0,27.35
LANGKAAN II,2012,1,5,25.2,30.8,25.3,3.0,140.0,78.0,28.05
LANGKAAN II,2013,1,0,37.6,30.2,24.2,4.0,140.0,78.0,27.2
LANGKAAN II,2014,1,5,0.4,29.5,23.4,3.0,140.0,72.0,26.45
LANGKAAN II,2015,1,3,31.8,29.5,23.6,2.0,140.0,79.0,26.55
LANGKAAN II,2016,1,2,1.4,31.3,25.3,3.0,90.0,78.0,28.3
LANGKAAN II,2017,1,3,52.5,29.7,25.0,3.0,90.0,77.0,27.35
LANGKAAN II,2018,1,6,16.4,30.3,25.4,3.0,90.0,77.0,27.85
LANGKAAN II,2019,1,8,5.7,30.6,24.9,3.0,90.0,72.0,27.75
LANGKAAN II,2020,1,7,4.2,31.0,24.9,3.0,90.0,78.0,27.95
LANGKAAN II,2021,1,2,84.6,30.3,24.6,2.0,320.0,77.0,27.450000000000003
